Time,vx,vy,vz,x,y,z,Bx,By,Bz
1537347330.0,-435.2941436767578,-32.04389762878418,-30.531169891357422,1443514.310914,-215121.36067149998,27156.085136,3.4825862646102905,-1.2226227521896362,-0.8319772779941559
1537347390.0,-435.8530983846696,-32.00656156070897,-31.002384060718974,1443511.9304415002,-215118.1276245,27160.294828500002,3.2172510623931885,-1.6829556822776794,-0.8883821666240692
1537347450.0,-436.3583068847656,-30.186962127685547,-32.92719268798828,1443509.550036,-215114.89452099998,27164.5045025,3.4450310468673706,-1.4109958410263062,-1.1911785006523132
1537347510.0,-436.74391149302,-30.136699019885455,-33.746090247982835,1443507.1696974998,-215111.6613605,27168.7141585,3.511362671852112,-1.4162452816963196,-1.3187088370323181
1537347570.0,-436.7127685546875,-32.31081485748291,-33.815229415893555,1443504.7894255,-215108.4281435,27172.9237955,3.464534044265747,-1.588567316532135,-1.155968427658081
1537347630.0,-436.1649765264793,-33.053258426853866,-33.386374801885886,1443502.4092199998,-215105.19487,27177.133414,3.5645737648010254,-1.4008542895317078,-1.195185363292694
1537347690.0,-435.9288635253906,-31.61651039123535,-32.79397010803223,1443500.0290815,-215101.9615395,27181.343014500002,3.4181857109069824,-1.5005367994308472,-1.2481658458709717
1537347750.0,-437.5628577060387,-28.90789882472304,-33.900350789554786,1443497.6490099998,-215098.7281525,27185.552596,3.4588130712509155,-1.4071098566055298,-1.312254786491394
1537347810.0,-439.4275207519531,-26.975985527038574,-34.81378173828125,1443495.2690055,-215095.4947085,27189.762158999998,3.1054784059524536,-1.271213412284851,-1.9308343529701233
1537347870.0,-438.66844452404587,-27.509494375010007,-32.96939190098497,1443492.8890675,-215092.2612075,27193.971704,3.4854966402053833,-1.1564454436302185,-1.5511870980262756
1537347930.0,-437.4210205078125,-29.346734046936035,-32.54712390899658,1443490.509196,-215089.0276505,27198.1812305,3.429479956626892,-1.2131350636482239,-1.2504889369010925
1537347990.0,-437.21555666063654,-29.468273600593943,-33.520388806452516,1443488.129392,-215085.79403699999,27202.390738000002,3.396843194961548,-1.30057692527771,-1.2949050068855286
1537348050.0,-437.23956298828125,-28.63023567199707,-33.16674995422363,1443485.749655,-215082.5603665,27206.600227000003,3.4410910606384277,-1.28514564037323,-1.2069880962371826
1537348110.0,-437.3864465932377,-28.767710607559955,-32.6513005866379,1443483.3699845,-215079.326639,27210.809698,3.417011260986328,-1.2850900292396545,-1.15005761384964
1537348170.0,-437.0818328857422,-29.16835880279541,-31.532617568969727,1443480.9903805,-215076.0928545,27215.0191505,3.386396288871765,-1.405363380908966,-1.1364952325820923
1537348230.0,-436.71226176277537,-28.858626256223584,-30.704959681776703,1443478.6108435001,-215072.85901349998,27219.2285845,3.5771404504776,-1.3934643864631653,-0.9457886219024658
1537348290.0,-436.3301696777344,-29.126254081726074,-31.58819580078125,1443476.2313740002,-215069.625116,27223.438000000002,3.5023540258407593,-1.3727885484695435,-1.0912336111068726
1537348350.0,-434.0911620093174,-31.072542659571912,-31.075618243608318,1443473.851971,-215066.391162,27227.6473965,3.5425835847854614,-1.4117737412452698,-0.9397570788860321
1537348410.0,-432.1739959716797,-31.49750518798828,-28.919167518615723,1443471.472635,-215063.157151,27231.8567745,3.6403589248657227,-1.2494165897369385,-0.553119570016861
1537348470.0,-432.1064803326716,-31.214038098444703,-28.09358024597168,1443469.0933659999,-215059.923083,27236.066134499997,3.63002872467041,-1.1966667771339417,-0.4648725986480713
1537348530.0,-432.5371551513672,-31.04816436767578,-28.722649574279785,1443466.714164,-215056.6889585,27240.275476000003,3.627056121826172,-1.2774165868759155,-0.5908656418323517
1537348590.0,-432.98989918192876,-30.01738166809082,-29.574818783119078,1443464.335029,-215053.4547775,27244.484799,3.7175533771514893,-1.201098382472992,-0.6266219317913055
1537348650.0,-433.12242126464844,-29.229461669921875,-28.74236011505127,1443461.9559605,-215050.2205395,27248.694103499998,3.64311146736145,-1.3557732105255127,-0.4389394074678421
1537348710.0,-433.22240460505253,-30.23919931005259,-27.169083173157738,1443459.5769595,-215046.9862445,27252.9033895,3.5723315477371216,-1.5334781408309937,-0.17594867944717407
1537348770.0,-433.3618927001953,-31.28457546234131,-27.313652992248535,1443457.1980255,-215043.75189299998,27257.112656999998,3.637662172317505,-1.2384707927703857,-0.5949471890926361
1537348830.0,-433.4763656616211,-30.515976842244466,-29.188832092285157,1443454.819158,-215040.517485,27261.321905999997,3.59099018573761,-1.2014181017875671,-0.5841413140296936
1537348890.0,-432.98063134365395,-29.98539146048124,-29.315677674090274,1443452.4403579999,-215037.28301999997,27265.5311365,3.666725277900696,-1.4230619668960571,-0.5822654068470001
